Row	Type	Prefix	Name	Label	Domain	Dispostion	Yes/No	DispComment	Definitions	Editor Note	Example	Status	Human Friendly Name	Name of editor	Alternative Name	Citation
315	C	vivo:	Authorship	Authorship	VIVO	R	yes	See Early Thoughts on Roles and Relationships	"Contains the authors name, their rank in the publication, and whether or not they are a corresponding author on the publication."		"Currently any abstract name is given to members of this class. This could change in the future.|Authorship of journal articles, books and other original works is a means by which academics communicate the results of their scholarly work, establish priority for their discoveries, and build their reputation among their peers.\nThis class allows for linking an author to a publication while indicating information about that author's authorship."					
316	C	vivo:	Award	Award or Honor	VIVO	R	yes	See Early Thoughts on Roles and Relationships	An Award or Honor		Wiley Prize in Biomedical Sciences|An Award or Honor					
317	C	vivo:	AwardedDegree	Awarded Degree	VIVO	R	yes	See Early Thoughts on Roles and Relationships	The awarding of a degree by an agent to another agent. It is mostly for academic degrees.							
318	C	vivo:	AwardReceipt	Award or Honor Receipt	VIVO	R	yes	See Early Thoughts on Roles and Relationships	"The bestowal of an award, honor, or distinction to a person or person's at a particular time.  "		The award bestowed may be represented with the Award class.					
319	C	vivo:	Blog	Blog	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"Regularly updated online journal or newsletter by one or more writers, called bloggers, containing articles and commentary of interest to the blogger"		Library of Congress Blog|Blog is short for weblog. 					
320	C	vivo:	BlogPosting	Blog Posting	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	An online article or commentary appearing on a blog		A specific blog posting					
321	C	vivo:	Building	Building	VIVO	R	yes	For location of events	Building that provides a particular service or is used for a particular activity.		"Martha Van Rensselaer Hall (VR); Caldwell Hall (CD); University Auditorium|Enter building name. If the building's name is a number (as in many governmental organizations such as national laboratories and military bases), then enter it. Do not confuse with the number that appears in a postal address."					
322	C	vivo:	Campus	Campus	VIVO	R	yes	Possible	"The grounds of a school, college, university, or hospital. Or, a large, usually suburban, landscaped business or industrial site."		Definition taken from dictionary.com (http://dictionary.reference.com/browse/campus).|Cornell Ithaca; Cornell Geneva; Cornell New York City; Cornell Qatar					
323	C	vivo:	CaseStudy	Case Study	OBI	R	yes	Find in OBI	A qualitative descriptive research study of individuals or a group		"A form of qualitative descriptive research that is used to study individuals, a small group of participants, or a group as a whole. Medical usage (from MeSH): clinical presentations that may be followed by evaluative studies that eventually lead to a diagnosis. "					
324	C	vivo:	Catalog	Catalog	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A list of items in a collection; an ordered compilation of item descriptions and sufficient information to afford access to them		Short Definition is the Medical Subject Heading (MeSH) definition |NLM Catalog					
325	C	vivo:	Center	Center	ORG	R	yes		An organization where a specified activity is concentrated.|A place where a particular activity or service is concentrated.		Short Definition take from http://www.thefreedictionary.com/center.|Alchohol Education Center; Center for Arts and Public Policy; Hearing Research Center					
326	C	vivo:	Certificate	Certificate	IAO	R	yes	Find in IAO	"A document confirming certain characteristics of a person or organization, usually provided by some form of external review, education, or assessment."		"A document confirming certain characteristics of a person or organization, usually provided by some form of external review, education, or assessment."					
327	C	vivo:	Certification	Certification	IAO	R	yes	Certification Process	An issued certificate		see also core:Certificate					
328	C	vivo:	ClinicalOrganization	Clinical Organization	ORG	R	yes		Any organization with a significant clinical function as a matter of course and not just through occasional clinical roles|Any organization that offers significant health services or routinely provides medical care to patients.		"In the future we may be able to make this a defined class that would not need to be directly asserted, but the consensus seems to be that some organizations \are\"" clinical and some \""are\"" research organizations and that the distinction is important enough to warrant the additional class and class assertions"""					
329	C	vivo:	ClinicalRole	Clinical Role	VIVO	R	yes		A role of observing or treating patients							
330	C	vivo:	College	College	ORG	R	yes		A primary academic unit within a University or a free-standing higher education organization without graduate degree programs.|A primary academic unit within a University or a free-standing higher education organization without graduate degree programs		College of Arts & Sciences; Ivy Tech Community College					
331	C	vivo:	Committee	Committee	ORG	R	yes		"A group of people organized for a specific purpose, whose members are often selected from a larger group to serve for designated periods of time.|A group of people organized for a specific purpose (e.g., a reporting or advisory role), often with a charge and for a specific duration"		"There could be many subclasses such as thesis committee or tenure committee, but these may typically be differentiated via the moniker unless distinct properties become important.|Curriculum Steering Committee; PhD Advisory Committee"					
332	C	vivo:	Company	Company	ORG	R	yes		A legally-recognized business organization.|A legally-recognized business organization		"from Wikipedia: \A company is a form of business organization. It is an association or collection of individual real persons and/or other companies ... This collection, group or association of persons can be made to exist in law and then a company is itself considered a \""legal person\"". The name company arose because, at least originally, it represented or was owned by more than one real or legal person.\"""""					
333	C	vivo:	Competition	Competition	VIVO	R	yes	Possible	An occasion on which a winner is selected from among two or more contestants.		Not the same as an award or distinction.|Intel Talent Search; poetry contest					
334	C	vivo:	ConferencePaper	Conference Paper	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A paper presented at a conference; optionally collected into a Proceedings or a special Journal issue							
335	C	vivo:	ConferencePoster	Conference Poster	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"The digital file (or physical equivalent), if available after the conference, vs. the act of attending/presenting: use ConferencePresentation for information about date/time/location/name of the event where the poster was presented"							
336	C	vivo:	ConferenceSeries	Conference Series	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	An organized series of a meeting for consultation or discussion.		"For individual, separate conferences, use conference instead.  core:ConferenceSeries and core:SeminarSeries are very similar."					
337	C	vivo:	Consortium	Consortium	ORG	R	yes		"A group  of independent organizations working together toward a common goal, under an expressed agreement."		Committee on Institutional Cooperation (CIC); The Five Colleges of Ohio					
338	C	vivo:	Continent	Continent	GAZ	R	yes	Not in domain	"A large contiguous landmass  that is at least partially surrounded by water, together with any islands on its continental shelf."		The seven commonly recognized continents are Africa; Antarctica; Asia; Australia; Europe; North America; South America|Short Definition take from http://en.wiktionary.org/wiki/continent.					
339	C	vivo:	Contract	Contract	IAO	R	yes		An agreement involving specific deliverables and payment							
340	C	vivo:	CoPrincipalInvestigatorRole	Co-Principal Investigator Role	CREDIT	R	yes		"Role of co-principal investigator of an Agreement (for example, a grant), who devotes a specified percentage of time and is considered key personnel."							
341	C	vivo:	CoreLaboratory	Core Laboratory	ORG	R	yes		"A lab providing services such as training, protocols, or access to instruments or software"							
342	C	vivo:	Country	Country	GAZ	R	yes		An area of land distinguished by its political autonomy. Politically independent territories.		Source of the Short Definition: http://www.thefreedictionary.com/country.  This is also the same as geopolitical.owl:self_governing.|Afghanistan; Antigua and Barbuda; Cameroon; Iceland; Jamaica; Nigeria; United States of America					
343	C	vivo:	County	County	GAZ	R	yes		The largest administrative division of most states or provinces.		Short Definition modified from the one found here: http://www.thefreedictionary.com/county.|Alachua; Baker; Bradford; Kenora; Ottawa; Waterloo					
344	C	vivo:	Course	Course	VIVO	R	yes		"A course as taught in one time period by one or more instructors, normally but not always for credit. Does not represent either each meeting of the course or the course offering such as Biology 101 taught every semester from 1980 to 2010"		"A course as taught in one time period (such as a semester; although note that a course could consist of only one meeting (teaching session)) by one or more instructors, normally but not always for credit. Does not represent either each meeting of the course or the course offering such as Biology 101 taught every semester from 1980 to 2010"					
345	C	vivo:	Credential	Credential	IAO	R	yes	Find in IAO	"An attestation of qualification, competence, or authority issued to an individual by a third party with a relevant or  de facto authority or assumed competence to do so."		"An attestation of qualification, competence, or authority issued to an individual by a third party with a relevant or  de facto authority or assumed competence to do so."					
346	C	vivo:	Database	Database	IAO	R	yes	Find in IAO	A structured file of information or a set of logically related data stored and retrieved using computer-based means		Short Definition is the Medical Subject Heading (MeSH) definition|PubMed					
347	C	vivo:	Dataset	Dataset	NA	N	no	See database	"A named collection of data, usually containing only one type of data"		US Patent Data; US Job Data					
348	C	vivo:	DateTimeInterval	Date/Time Interval	TIME	R	yes		"a specific period or duration, defined by (optional) start and end date/times."							
349	C	vivo:	DateTimeValue	Date/Time Value	TIME	R	yes		A date and/or time							
350	C	vivo:	DateTimeValuePrecision	Date/Time Value Precision	TIME	R	yes		Indicates the precision of the value of a DateTimeValue instance.							
351	C	vivo:	Department	Department	ORG	R	yes		A unit within a larger organization that addresses a specific subject or area of activity.		Legal (department within a company); Use for any non-academic department|Definition modified from the definition here: http://dictionary.reference.com/browse/department. It is difficult to tell the difference between and department and a division.					
352	C	vivo:	Division	Division	ORG	R	yes		A major unit or section within a larger organization.		Definition modified from http://www.thefreedictionary.com/division.  It is difficult to tell the difference between a division and a department.|Cardiovascular Medicine (division within medicine)					
353	C	vivo:	EditorialArticle	Editorial Article	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"An article of opinion, typically published in a newspaper. For academics, most commonly Op Ed pieces"							
354	C	vivo:	EditorRole	Editor Role	CREDIT	R	yes		"An ongoing editorial responsibility for a bibo:Collection, such as a Journal or Series"		"An ongoing editorial responsibility for a bibo:Collection, such as a Journal or Series"					
355	C	vivo:	Editorship	Editorship	VIVO	R	yes	Editing Process	A relationship that represents the recognition of an agent as an editor.							
356	C	vivo:	EducationalProcess	Educational Process	VIVO	R	yes		Represents educational training that has been received.		Currently any abstract name is given to individuals of this class. This could change in the future.					
357	C	vivo:	EmeritusFaculty	Faculty Member Emeritus	VIVO	R	yes		"A retired faculty member who has retained their rank, title and privileges."							
358	C	vivo:	EmeritusLibrarian	Librarian Emeritus	VIVO	R	yes		"A retired librarian who has retained their rank, title and privileges."							
359	C	vivo:	EmeritusProfessor	Professor Emeritus	VIVO	R	yes		"A retired professor who has retained their rank, title and privileges."							
360	C	vivo:	Equipment	Equipment	ERO	R	yes	Find in ERO	"A physical object provided for specific purpose, task or occupation. "		"server; Bruker Vector-33 FT-IR|A network server is one example. Medical schools and research laboratories can list professional equipment, such as microscopes."					
361	C	vivo:	EventSeries	Event Series	VIVO	R	yes		Two or more events that occur at different times and are connected to each other.		"A generic class which may include a conference series, a course section, a seminar series, or a workshop series. When possible, use one of these more specific classes.|Only use if no specific subclasses of core:EventSeries desribe the activity."					
362	C	vivo:	Exhibit	Exhibit	VIVO	R	yes	More art related classes needed	"The showing of an object or a collection of objects, in an organized manner."							
363	C	vivo:	ExtensionUnit	Extension Unit	ORG	R	yes		"A unit devoted primarily to extension activities, whether for outreach or research.|A unit devoted primarily to extension activities, whether for outreach or research"		Alachua County Extension Office					
364	C	vivo:	F1000Link	F1000 Link	VIVO	R	yes				F1000 is a place where faculty go to critique papers published in PubMed. Any given record in F1000 might have anywhere from one to dozens of reviews.					
365	C	vivo:	Facility	Facility	VIVO	M	no	Perhaps ERO	"Something designed, built, installed, etc., to serve a specific function or activity affording a convenience or service."		"Use subclasses of core:Facility subclasses instead of this class if possible|Distinct from the organization that runs it; e.g., a laboratory may be an organization but may be run by another organization and only consist of facilities housing equipment or services. Can be a building or place that provides a particular service or is used for a particular activity. Use the specific Building or Room whenever possible. Short definition from http://dictionary.reference.com/browse/facility."					
366	C	vivo:	FacultyAdministrativePosition	Faculty Administrative Position	VIVO	R	yes		"An academic administrative position (associate dean, etc.) as distinct from a professional administrative position (non-academic)"		That is a position held by an academic faculty member who works for administration.|Associate Dean					
367	C	vivo:	FacultyMember	Faculty Member	VIVO	R	yes		A person with at least one academic appointment to a specific faculty of a university or institution of higher learning.							
368	C	vivo:	FacultyMentoringRelationship	Faculty Mentoring Relationship	VIVO	R	yes	See Early Thoughts on Roles and Relationships	An advisory relationship in which one faculty member mentors another faculty member.							
369	C	vivo:	FacultyPosition	Faculty Position	VIVO	R	yes		Academic position in a university or institution		"Professor; Associate Professor; Assistant Professor|Professor, associate professor and assistant professor are common positions for academic faculty."					
370	C	vivo:	Foundation	Foundation	ORG	R	yes		"An institution founded with an endowment to support educational, research, artistic or other charitable activities."		The Ford Foundation|Definition take from: http://dictionary.reference.com/browse/foundation.					
371	C	vivo:	FundingOrganization	Funding Organization	ORG	R	yes		An organization that provides financial support to individuals or organizations to carry out specified activities.|A defined class of organizations that fund Grants		National Institute of Health (NIH)					
372	C	vivo:	GeographicLocation	Geographic Location	GAZ	R	yes		A location having coordinates in geographic space.		"Use subclasses of core:Geographic Location subclasses instead of this class if possible.|Removed the word \stable\"" because disputed territories from geopolitical.owl are included. This could imply that the geographic coordinates could change. I've also copied this definition to core:Geographic Location.  I think core:Geographic Location and core:Geographic Region are both the same and only one is needed. There is also geopolitical.owl:geographical_region which further causes confusion."""					
373	C	vivo:	GeographicRegion	Geographic Region	GAZ	R	yes		A location having coordinates in geographic space.		"Use subclasses of core:Geographic Region subclasses instead of this class if possible.|Removed the word \stable\"" because disputed territories from geopolitical.owl are included. This could imply that the geographic coordinates could change. This definition was originally in core:Geographic Location.  I simply copied the definition from there.  I think core:Geographic Location and core:Geographic Region are both the same and only one is needed. There is also geopolitical.owl:geographical_region which further causes confusion."""					
374	C	vivo:	GeopoliticalEntity	Geopolitical Entity	GAZ	R	yes		A geographical area which is associated with some sort of political  structure.		Use subclasses of core:GeopoliticalEntity subclasses instead of this class if possible.|Short definition obtained here: http://en.wiktionary.org/wiki/geopolitical_entity.					
375	C	vivo:	GovernmentAgency	Government Agency	ORG	R	yes		A unit of government responsible for oversight and regulation of certain activities or the administration and provision of specific services.		United States Library of Congress|Definition take from: http://en.wikipedia.org/wiki/Government_agency.					
376	C	vivo:	GraduateAdvisingRelationship	Graduate Advising Relationship	VIVO	R	yes	See Early Thoughts on Roles and Relationships	An advisory relationship in which a professor advises a graduate student.							
377	C	vivo:	GraduateStudent	Graduate Student	VIVO	R	yes		A person who has already received a bachelor's degree and is working toward a Master's or Doctoral degree.							
378	C	vivo:	Grant	Grant	VIVO	R	yes	Needs analysis  	"Financial assistance mechanism providing money, property, or both to an eligible entity to carry out an approved project or activity"		"An intramural or extramural award to support scholarly work, such as UF09179 (VIVO)|Short definition is from the Glossary of NIH Terms."					
379	C	vivo:	Hospital	Hospital	ORG	R	yes		"An institution that provides medical, surgical, psychiatric or nursing care."		Shands at the University of Florida|Definition take from: http://dictionary.reference.com/browse/hospital.					
380	C	vivo:	Institute	Institute	ORG	R	yes		"An organization founded to pursue or promote certain research, educational or public policy interests or activities.|An Institute normally has a research focus but may also fulfill instructional or outreach roles"		Institute for Fundamental Theory					
381	C	vivo:	Internship	Internship	VIVO	R	yes	A position type?	Typically a student or a recent graduate undergoing supervised practical training.							
382	C	vivo:	InvestigatorRole	Investigator Role	OBI	R	yes	Find in OBI	"A role in an Agreement (for example, a grant) as a named investigator or key personnel."							
383	C	vivo:	InvitedTalk	Invited Talk	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.								
384	C	vivo:	IssuedCredential	Issued Credential	VIVO	R	yes	Credential								
385	C	vivo:	Laboratory	Laboratory	ORG	R	yes		"An organizational unit (as opposed to the physical facility) that performs research, provides services, or processes materials|An organization unit that facilitates or conduits observation, testing, experimentation, or research in a field of study or practice."							
386	C	vivo:	LeaderRole	Leader Role	VIVO	M	no	Why?	A leadership role		"A broad-ranging leader concept, from leading a small temporary committee to head of a large international organization."					
387	C	vivo:	Librarian	Librarian	VIVO	R	yes		"A person working in a position of librarian or information professional, or academic or technical expert in support of providing information services or materials."							
388	C	vivo:	LibrarianPosition	Librarian Position	VIVO	R	yes		"A position held  by library and information science professionals, or academic or technical experts, in support of providing information services or materials"		Librarian; Library Systems Analyst; Music Bibliographer|It is the common position in libraries.					
389	C	vivo:	Library	Library	ORG	R	yes		An organization maintaining one or more collections of physical and/or electronic information resources for access or lending.		Used information from this definition: http://dictionary.reference.com/browse/library.|Marston Science Library					
390	C	vivo:	License	License	IAO	R	yes		Official or legal permission to do something		Licenses are usually issued in order to regulate some activity that is deemed to be dangerous or a threat to the person or the public or which involves a high level of specialized skill.  See also core:Licensure.					
391	C	vivo:	Licensure	Licensure	IAO	R	yes	Licence Process	"A granted license, which gives a 'permission to practice.'"		"A granted license, which gives a 'permission to practice.' Such licenses are usually issued in order to regulate some activity that is deemed to be dangerous or a threat to the person or the public or which involves a high level of specialized skill.  See also core:License."					
392	C	vivo:	Location	Location	GAZ	R	yes		Top level of all location classes.		"Use subclasses of core:Location when classsifying items.|It's anticipated that the subclasses will be used when classifying items. And, all locations can be viewable via this class."					
393	C	vivo:	MedicalResidency	Medical Residency	VIVO	R	yes	A position type	Residency is a stage of graduate medical training. 							
394	C	vivo:	Meeting	Meeting	VIVO	R	yes	An event type	"A gathering of people for a defined purpose, not necessarily public or announced"							
395	C	vivo:	MemberRole	Member Role	VIVO	R	yes	See Early Thoughts on Roles and Relationships	A role of being a member in a Process or an Organization							
396	C	vivo:	Museum	Museum	ORG	R	yes		"An organization devoted to the acquisition, conservation, study, exhibition, and educational interpretation of objects having scientific, historical, cultural or artistic value."		The Getty Museum|Definition was take from here:  http://dictionary.reference.com/browse/museum					
397	C	vivo:	Newsletter	Newsletter	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"Usually issued periodically, prepared by or for a group or institution to present information to a specific audience, often also made available to the press and public"		The Ornithological Newsletter					
398	C	vivo:	NewsRelease	News Release	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"A short written piece focused on an event or announcement of note, having a defined publication time and of less enduring interest than a news feature."							
399	C	vivo:	NonAcademic	Non-Academic	VIVO	R	yes		A person holding a position that is not considered to be an academic appointment.							
400	C	vivo:	NonAcademicPosition	Non-Academic Position	VIVO	R	yes		"A position classified as professional, staff, support, or any other non-academic role"		"Staff, support, and other non-academic positions.|Accounting & Research Services Assistant; Director of Information Technology"					
401	C	vivo:	NonFacultyAcademic	Non-Faculty Academic	VIVO	R	yes		A person not considered a faculty member but holding an academic appointment.							
402	C	vivo:	NonFacultyAcademicPosition	Non-Faculty Academic Position	VIVO	R	yes		A position involving academic work but without faculty status		Those positions are held by people who do academic work but do not have faculty positions in universities or institutes.|Researcher; Academic Extension Associate; Postdoctoral Associate					
403	C	vivo:	OrganizerRole	Organizer Role	VIVO	R	yes		A role of organizing							
404	C	vivo:	OrganizingProcess	Organizing Process	VIVO	R	yes	Organize an event								
405	C	vivo:	OutreachProviderRole	Outreach Provider Role	VIVO	R	yes	Outreach Role	An outreach or community service role directed outside a person's primary profession and institution		"The example is one outreach role required by US space agency NASA, which is related with one project in NASA. Name of the outreach role should be put here.|Communicating Astronomy to the Public"					
406	C	vivo:	PeerReviewerRole	Peer Reviewer Role	CREDIT	R	yes		A role of peer reviewing		"is a generic term for a process of self-regulation by a profession or a process of evaluation involving qualified individuals within the relevant field. Peer review methods are employed to maintain standards, improve performance and provide credibility. In academia  the term is often used to denote a prepublication review of academic papers; reviewing an academic paper is often called refereeing.\nContents\n[hide]"					
407	C	vivo:	PopulatedPlace	Populated Place	GAZ	R	yes		Either city or town - a thickly populated area having fixed boundaries and certain local powers of government.							
408	C	vivo:	Position	Position	VIVO	R	yes		"Particular position in an organization, commonly identified by job title, and normally associated with a job description that details the tasks and responsibilities that go with the position."		"Director of Admissions and Placement; Associate University Librarian|An employment activity, whether compensated or not. Short definition comes from http://en.wikipedia.org/wiki/Position, and has been modified."					
409	C	vivo:	Postdoc	Postdoc	VIVO	R	yes		A Person holding an academic employment appointment focused on research rather than teaching; temporary (or for some defined term)							
410	C	vivo:	PostdocOrFellowAdvisingRelationship	Postdoc or Fellow Advising Relationship	VIVO	R	yes	"Not ""or"""	An advisory relationship in which the advisee is a Postdoc or Fellow.							
411	C	vivo:	PostdocPosition	Postdoctoral Position	VIVO	R	yes		A postdoctoral training appointment (job)							
412	C	vivo:	PostdoctoralTraining	Postdoctoral Training	VIVO	R	yes		"Postdoctoral research is academic or scholarly research conducted by a person who has completed his or her doctoral studies, normally within the following five years. It is intended to further deepen expertise in a specialist subject."							
413	C	vivo:	Presentation	Presentation	VIVO	R	yes	An event type	"Encompasses talk, speech, lecture, slide lecture, conference presentation"							
414	C	vivo:	PresenterRole	Presenter Role	VIVO	R	yes		A role of presenting information		"Are we assuming that a PresenterRole is in a Presentation?  Or could you have a PresenterRole in, say, a committee?"					
415	C	vivo:	PresentingProcess	Presenting Process	VIVO	M	no	May be redundant								
416	C	vivo:	PrimaryPosition	Primary Position	VIVO	R	yes	A quality?	A position designated as primary by the organization where it is held.		A position designated as primary by the organization or group where it is held. This designation may be applied to zero or more of an agent's positions and may be asserted in conjunction with other subclasses of position.					
417	C	vivo:	PrincipalInvestigatorRole	Principal Investigator Role	OBI	R	yes		"Role of a person to direct a project or activity being supported by an Agreement (for example, a grant), and who is accountable to the grantee for the proper conduct of the project or activity. Also known as Program Director or Project Director."							
418	C	vivo:	PrivateCompany	Private Company	ORG	R	yes		"A private company is one that is privately-owned, and thus, is not publicly-traded in the stock market. Members of the general public cannot purchase stock in a private company unless that company chooses to go public and become a public company."		Publix Super Markets; Ernst & Young; PricewaterhouseCoopers|Definition obtained here: http://answers.ask.com/Business/Finance/what_is_a_private_company.  Examples of private companies found here: http://www.forbes.com/2008/11/03/largest-private-companies-biz-privates08-cx_sr_1103private_land.html					
419	C	vivo:	Program	Program	ORG	R	yes		An ongoing academic initiative not formalized with department or division status.		A Cornell graduate field (http://vivo.cornell.edu/index.jsp?home=65535&collection=820)					
420	C	vivo:	Project	Project	VIVO	R	yes	Needs analysis  	"An endeavor, frequently collaborative, that occurs over a finite period of time and is intended to achieve a particular aim."		"An endeavor, frequently collaborative, that occurs over a finite period of time and is intended to achieve a particular aim.\n"					
421	C	vivo:	Publisher	Publisher	ORG	R	yes		"A person or company whose business is the publishing of books, periodicals, engravings, computer software, etc."		Elsevier; Harper & Row; Indiana University Press|Definition found here: http://dictionary.reference.com/browse/publisher					
422	C	vivo:	Relationship	Relationship	VIVO	M	no	See Early Thoughts on Roles and Relationships	a reified relationship		functions as an n-ary predicate					
423	C	vivo:	ResearcherRole	Researcher Role	OBI	R	yes		"A role of conducting funded or unfunded research,  sometimes linked to an Agreement."		"Examples of research can be seen at: http://www.ufl.edu/research/products/index.html.  Note these may have been funded, but the research doesn't have to be funded.  Also, the research may be linked to an Agreement (for example, a Grant), but does not need to be."					
424	C	vivo:	ResearchOrganization	Research Organization	ORG	R	yes		"Any organization (likely also asserted as another class of Organization) with a primary, ongoing research function, not just through occasional roles"							
425	C	vivo:	ResearchProposal	Research Proposal	OBI	R	yes		A proposal for a research grant that has been submitted but not approved; does not represent an existing activity							
426	C	vivo:	Review	Review	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"An article reviewing one or more other information resources (a book, one or more other articles, movies, etc)"							
427	C	vivo:	ReviewerRole	Reviewer Role	CREDIT	R	yes		"A role that encompasses both ongoing reviewer responsibility for a bibo:Collection, such as a Journal or Series, and also a review performed for a bibo:Document, such as a book, academic article or conference paper."		"A role that encompasses both ongoing reviewer responsibility for a bibo:Collection, such as a Journal or Series, and also a review performed for a bibo:Document, such as a book, academic article or conference paper."					
428	C	vivo:	Room	Room	VIVO	R	yes	For location of events	Room that provides a particular service or is used for a particular activity.		Enter room number of name.|100 Caldwell Hall; 114 Martha Van Rensselaer (Rushmore Conference Room)					
429	C	vivo:	School	School	ORG	R	yes		An institution for instruction in a particular skill or field.		School of Architecture; School of Music|Definition take from here: http://dictionary.reference.com/browse/school.					
430	C	vivo:	Score	Score	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	Written musical composition for voice or instruments or both							
431	C	vivo:	Screenplay	Screenplay	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"Written script for a film production, including dialogue and descriptions of gestures, actions, shooting directions"							
432	C	vivo:	SeminarSeries	Seminar Series	VIVO	R	yes		"An organized series of a meeting for an exchange of ideas, typically put on by a department or center."		"For individual seminars, use seminar instead.  core:ConferenceSeries and core:SeminarSeries are very similar.|Applied Microeconomics Seminars; Future of Rural New York Seminar Series"					
433	C	vivo:	ServiceProvidingLaboratory	Service Providing Lab	ORG	R	yes		A laboratory that provides services		Ideally a defined class -- a Laboratory the provides some Service via the property					
434	C	vivo:	Speech	Speech	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	Text of a speech written in preparation for delivery of the speech.							
435	C	vivo:	StateOrProvince	State or Province	GAZ	R	yes		"One of a number of areas or communities having their own governments and forming a federation under a sovereign government, as in the US."		Source of the Short Definition: http://www.thefreedictionary.com/state.|Minnesota; Michigan; Indiana; New York; Quebec; Manitoba; Ontario					
436	C	vivo:	Student	Student	VIVO	R	yes		A person who is enrolled in an educational institution.		Use only if no specific subclasses of core:Student describe the person.					
437	C	vivo:	StudentOrganization	Student Organization	ORG	R	yes		"A student organization is an organization, operated by students at a university, whose membership normally consists only of students."		Definition take from here: http://en.wikipedia.org/wiki/Student_society|Dancin' Gators					
438	C	vivo:	SubnationalRegion	Subnational Region	GAZ	R	yes		Smaller administrative division into which a country may be divided.		Short definition was partially taken from http://en.wikipedia.org/wiki/Subnational_entity.|Boroughs; townships; districts; the Midwest					
439	C	vivo:	TeacherRole	Teacher Role	VIVO	R	yes		A role of serving as an educator							
440	C	vivo:	Team	Team	ORG	R	yes		An informal organization brought together for the purposes of a project or event|A group of people working together.		VIVO Outreach Team; VIVO Ontology Team					
441	C	vivo:	Translation	Translation	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	The result of rendering a work from one language to another							
442	C	vivo:	UndergraduateAdvisingRelationship	Undergraduate Advising Relationship	VIVO	R	yes	See Early Thoughts on Roles and Relationships	An advisory relationship in which a professor advises an undergraduate student.							
443	C	vivo:	UndergraduateStudent	Undergraduate Student	VIVO	R	yes		A person registered in an undergraduate program leading to a bachelor's degree or an undergraduate diploma or certificate.							
444	C	vivo:	University	University	ORG	R	yes		"An institution of higher education and research, which grants academic degrees in a variety of subjects, and provides both undergraduate education and postgraduate education."		University of Florida; Washington University in St. Louis|Definition taken from: http://en.wikipedia.org/wiki/University					
445	C	vivo:	Video	Video	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	Audiovisual recording in video format							
446	C	vivo:	WorkingPaper	Working Paper	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A document created as a basis for discussion or a very early draft of a formal paper							
447	C	vivo:	WorkshopSeries	Workshop Series	VIVO	R	yes		"An organized series of workshop events, whether repetitions of the same workshop or multiple different workshops."		Use workshop for individual events.					
448	C	vivosr:	Phase0ClinicalTrial	Phase 0 Clinical Trial	OBI	R	yes		"Phase 0 is a recent designation for exploratory, first-in-human trials  conducted in accordance with the United States Food and Drug Administration's (FDA) 2006 Guidance on Exploratory Investigational New Drug (IND) Studies.  Phase 0 trials are also known as human microdosing  studies and are designed to speed up the development of promising drugs or imaging agents by establishing very early on whether the drug or agent behaves in human subjects as was expected from preclinical studies.|Phase 0 Clinical Trial"							
449	C	vivosr:	Phase1ClinicalTrial	Phase 1 Clinical Trial	OBI	R	yes		"Phase 1 Clinical Trial|In Phase I trials, researchers test an experimental drug or treatment in a small group of people (20-80) for the first time to evaluate its safety, determine a safe dosage range, and identify side effects"							
450	C	vivosr:	Phase2ClinicalTrial	Phase 2 Clinical Trial	OBI	R	yes		"Phase 2 Clinical Trial|In Phase 2 trials, an experimental study drug or treatment is given to a larger group of people (100-300) to see if it is effective and to further evaluate its safety."							
451	C	vivosr:	Phase3ClinicalTrial	Phase 3 Clinical Trial	OBI	R	yes		"Phase 3 Clinical Trial|In Phase 3 trials, an experimental study drug or treatment is given to large groups of people (1,000-3,000) to confirm its effectiveness, monitor side effects, compare it to commonly used treatments, and collect information that will allow the experimental drug or treatment to be used safely.\n"							
452	C	vivosr:	Phase4ClinicalTrial	Phase 4 Clinical Trial	OBI	R	yes		"Phase 4 Clinical Trial|In Phase 4 trials, post marketing studies delineate additional information including the drug's or treatment's risks, benefits, and optimal use."							
